logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.046141728786246450e+00 9.237398420593103676e-01 7.299041205261728749e+01 2.258380972673569229e-02 1.241724739406873113e-01 3.949180312887529132e-02 -8.653840927051321685e-01 7.820745526793061037e-03 1.526296118742032776e-02
3.144384767983798401e+00 9.308340860427793961e-01 7.221434995727449291e+01 2.227634507112494222e-02 1.109966442606911963e-01 9.062831160488499238e-02 -7.605109750600005381e-01 7.043713760326163198e-02 3.410295743633097454e-02
3.170959257004148490e+00 9.501312854721236656e-01 7.413737566709578175e+01 2.211808846411095902e-02 1.217653401823049208e-01 4.915120534962851701e-02 -8.431258764106481784e-01 8.997920976731391129e-02 2.253013193370404649e-02
3.074318246935021648e+00 9.342963681609030013e-01 7.353473295109856167e+01 2.257216111373402945e-02 1.159987768216229759e-01 7.228911202577968653e-02 -8.071952224146849986e-01 8.814131494062105165e-02 7.928921944000606736e-02
3.188305340391549336e+00 9.670922234979446586e-01 7.294412612793040296e+01 2.229912574378487000e-02 1.242088796888606433e-01 7.781515701583255340e-02 -8.158527194872398081e-01 5.318879999219568167e-02 3.541975051344659758e-02
2.902532928776349497e+00 9.926168066146174862e-01 7.586726811922309821e+01 2.251045382172964585e-02 1.240120108271793170e-01 1.966441963715821750e-02 -8.833616856764339165e-01 8.285000654728998104e-02 2.307516141514373217e-02
2.994191778224438938e+00 9.606854824746584587e-01 7.217108013616068263e+01 2.253058033516872755e-02 1.258132803115323550e-01 7.836812342955634669e-02 -8.268763673422576677e-01 1.708394904503554579e-02 5.840812129520878832e-02
2.905502305428366849e+00 9.028482912879168820e-01 7.241386799462391366e+01 2.240725772156952969e-02 1.215219997054460405e-01 9.052641415522044710e-02 -8.364116604643427877e-01 3.299527246190433333e-02 6.634786892922840684e-02
2.942919842881106973e+00 9.992883707384463410e-01 7.169885626805715617e+01 2.217981260054838893e-02 1.244161564448924562e-01 6.840268170151835025e-02 -7.843942824217331466e-01 4.064223052862328545e-02 2.855494405281174680e-02
3.112147302598172516e+00 9.101785710182112021e-01 7.316608791591022509e+01 2.245594478145074638e-02 1.290163469185839351e-01 2.644348522051277739e-02 -8.477480700710140482e-01 1.183941969110136744e-02 2.017284236466012140e-02
3.172908519245481784e+00 9.258363980172144014e-01 7.353421106962595388e+01 2.239441646259291915e-02 1.216410186148320222e-01 6.816986886946660440e-02 -8.032582283057743133e-01 9.309674011913170177e-02 4.454643530352520031e-02
3.116823985815129205e+00 9.937113359595061146e-01 7.422916459015678470e+01 2.226354030231972314e-02 1.168668466165863756e-01 8.824378599014122415e-02 -8.553230805032885353e-01 8.463798216119977624e-02 2.036603721198437106e-02
3.189439391402624668e+00 9.165333034086463604e-01 7.284928495846656915e+01 2.248060304981099738e-02 1.276317485863325274e-01 6.971706767095338375e-02 -8.082800816645823172e-01 4.106964022978943502e-02 2.402868178235203350e-02
3.117185863606039220e+00 9.405366118141533782e-01 7.156905191499254215e+01 2.210772435066785113e-02 1.246484694819876282e-01 3.141282721791981147e-02 -8.058663489153476966e-01 1.664401989051699296e-02 6.474284249440649675e-02
