# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio weight loglikelihood
2.34427867e+00 1.08309079e+00 5.28541805e+01 8.52811051e-03 3.43336538e-01 1.49704705e+00 -8.32989948e-01 -3.17509793e-01 5.13927286e-01 0.00000000e+00 -1.00000000e+300
2.72471956e+00 1.19458251e+00 8.16528929e+01 5.86348234e-02 2.29140506e-01 2.02344960e-01 -5.85908020e-01 4.20426080e-01 5.42385487e-01 0.00000000e+00 -1.00000000e+300
3.60390400e+00 9.31824714e-01 9.81763419e+01 7.14079897e-02 6.82835953e-01 1.28219404e+00 -1.21997966e+00 -8.34770865e-01 5.44802464e-01 0.00000000e+00 -1.00000000e+300
3.03177319e+00 1.14586524e+00 6.85184969e+01 8.28119489e-02 7.94719018e-01 1.70844453e+00 -1.77320052e+00 -1.58146524e+00 1.84914097e-01 0.00000000e+00 -1.00000000e+300
3.03537787e+00 1.05403382e+00 8.75390640e+01 5.07776175e-02 3.21043978e-01 4.58385589e-01 -1.37591260e+00 -1.81069094e+00 2.06776186e-02 0.00000000e+00 -1.00000000e+300
3.74848675e+00 8.87157335e-01 3.96266954e+01 5.18075641e-02 1.10117291e-01 9.06399609e-01 -2.71274582e-01 3.13400909e-02 1.48592120e-01 0.00000000e+00 -1.00000000e+300
2.36436881e+00 1.18465949e+00 3.43850287e+01 3.31872889e-02 3.05214662e-01 1.71413134e+00 -1.26999669e-01 -1.05412428e+00 1.61537054e-01 0.00000000e+00 -1.00000000e+300
3.39484494e+00 1.18408910e+00 8.02993198e+01 7.05363719e-02 7.36132500e-01 1.58673582e+00 -6.16799717e-01 2.44626529e-01 2.80965249e-01 0.00000000e+00 -1.00000000e+300
3.23276215e+00 9.32849400e-01 3.87233048e+01 3.92811616e-02 3.07173427e-01 1.67957184e+00 -1.11750090e+00 -2.07257902e-01 5.19461392e-01 0.00000000e+00 -1.00000000e+300
3.76105666e+00 9.88749862e-01 8.53465122e+01 5.59296483e-02 3.10094152e-01 1.69990723e+00 -4.22732060e-01 1.54060315e+00 6.79045503e-02 0.00000000e+00 -1.00000000e+300
