# logA n_s H0 omega_b omega_cdm m_ncdm w0_fld wa_fld tau_reio
2.46145382e+00 8.43112969e-01 7.44622434e+01 2.82877034e-02 1.19741535e-01 1.55039411e+00 -4.58284189e-01 -1.80844525e+00 1.22447373e-01
2.76093516e+00 8.93214773e-01 7.39976966e+01 2.91259261e-02 1.08839068e-01 1.63005908e+00 -4.87759371e-01 -1.70982294e+00 4.11702150e-01
3.88803398e+00 8.75606895e-01 7.88133159e+01 3.17841543e-02 1.20052334e-01 1.83963572e+00 -7.17154438e-01 -1.05709290e+00 6.04136161e-01
2.30190395e+00 9.77030318e-01 6.69408536e+01 2.12367839e-02 7.06108982e-02 1.98090291e+00 -5.61482492e-01 -1.33966293e+00 4.04785809e-01
2.91707199e+00 1.07836451e+00 8.10260569e+01 3.06024565e-02 1.93680245e-01 1.88743817e-02 -6.09857234e-01 -1.07650769e+00 3.52745984e-01
2.48764359e+00 9.28480337e-01 6.52565537e+01 1.25703386e-02 1.10460031e-01 7.24342483e-02 -8.41214879e-01 -1.64955481e-01 2.20420796e-01
2.68953067e+00 9.09215436e-01 7.17866013e+01 2.55809929e-02 1.53308174e-01 5.70305181e-01 -3.50811022e-01 -1.86066775e+00 4.59497364e-01
3.48765400e+00 8.11847429e-01 7.86110124e+01 3.22643846e-02 1.15647167e-01 1.84311226e+00 -5.89142615e-01 -1.52489033e+00 7.67223313e-02
3.44320280e+00 1.15590644e+00 7.13670240e+01 2.51000379e-02 1.23044127e-01 8.65418218e-01 -5.28019947e-01 -1.30521169e+00 6.05433178e-01
2.96474894e+00 1.18891968e+00 7.12642290e+01 2.61309095e-02 1.21338765e-01 1.20059616e+00 -4.48647056e-01 -1.52037220e+00 9.17759439e-02
3.02958623e+00 8.70182833e-01 6.33829320e+01 1.74871796e-02 6.04086194e-02 1.78946022e+00 -4.90943299e-01 -1.56787751e+00 3.90688066e-01
2.29893246e+00 1.03774331e+00 7.45502626e+01 2.50070668e-02 9.80791162e-02 1.86843132e+00 -7.67793820e-01 -1.07766381e+00 5.51218476e-01
1.84121108e+00 8.07325229e-01 6.95913127e+01 2.51635213e-02 1.11048049e-01 1.43359803e+00 -3.04385626e-01 -1.92213204e+00 5.12497607e-02
3.02958623e+00 8.70182833e-01 6.33829320e+01 1.74871796e-02 6.04086194e-02 1.78946022e+00 -4.90943299e-01 -1.56787751e+00 3.90688066e-01
3.06781362e+00 1.11560936e+00 6.76481209e+01 1.97445406e-02 1.00108478e-01 1.18417168e+00 -5.51763057e-01 -1.40267713e+00 1.17493868e-01
3.43735688e+00 8.41371374e-01 7.82539748e+01 3.04683250e-02 1.55783111e-01 4.50069968e-01 -6.21243615e-01 -1.06516171e+00 7.12995655e-01
1.64095343e+00 9.85200437e-01 7.63778370e+01 3.04426458e-02 1.46960512e-01 5.48451155e-01 -6.21262441e-01 -7.76770887e-01 7.39026176e-01
3.77243767e+00 1.15332045e+00 7.92581071e+01 2.92095360e-02 1.91911918e-01 2.92561584e-02 -4.30901148e-01 -1.90559816e+00 6.44577493e-01
3.29117078e+00 1.07321740e+00 6.88263941e+01 2.65687569e-02 6.17816608e-02 1.98133952e+00 -5.93367839e-01 -8.54151372e-01 1.63648377e-01
2.93036068e+00 9.45752617e-01 6.52524118e+01 1.71102640e-02 7.96527726e-02 1.02377102e+00 -9.05652745e-01 1.11866926e-01 1.48283258e-01
2.31185222e+00 1.17796164e+00 7.29245428e+01 2.27053868e-02 1.53026471e-01 4.62615617e-01 -5.00665033e-01 -1.77856850e+00 5.19329783e-01
3.11732294e+00 9.64788352e-01 7.51695810e+01 2.71152171e-02 9.20501360e-02 1.70992958e+00 -7.55125606e-01 -8.56435719e-01 5.72075815e-01
3.36569997e+00 1.01703944e+00 7.57361240e+01 2.88279050e-02 1.48128215e-01 4.72223886e-01 -6.12731957e-01 -9.78217652e-01 4.67858718e-01
2.84955849e+00 9.73076720e-01 6.49788745e+01 1.52903054e-02 7.32526229e-02 1.23506020e+00 -8.59789632e-01 -3.38093340e-01 2.05226571e-01
1.72458025e+00 9.26231409e-01 7.79952505e+01 3.15410598e-02 1.12424428e-01 1.71492422e+00 -8.04410999e-01 -5.71281681e-01 6.20684437e-02
1.88248242e+00 1.04171364e+00 6.40308286e+01 2.04600165e-02 7.03364137e-02 1.98574859e+00 -3.10973088e-01 -1.96080202e+00 4.39641191e-01
1.91615515e+00 9.55637056e-01 7.55787520e+01 2.45245686e-02 1.66144502e-01 2.32900656e-01 -6.86259283e-01 -8.61896171e-01 4.83632087e-01
1.86625722e+00 1.14759571e+00 6.80435217e+01 1.71097002e-02 7.15294798e-02 1.51606888e+00 -9.65218800e-01 -2.85161038e-01 3.72989949e-01
2.74399406e+00 1.11650269e+00 7.72932322e+01 2.76775687e-02 1.72811299e-01 1.15412968e-01 -5.08869003e-01 -1.47042532e+00 1.33761642e-01
2.32845487e+00 1.15069855e+00 7.54164500e+01 2.68421346e-02 1.19850850e-01 3.99644170e-01 -1.04624208e+00 6.84244743e-01 3.05030634e-01
2.43776250e+00 9.98971565e-01 6.56747562e+01 1.69987847e-02 6.63287388e-02 1.55173503e+00 -8.62379200e-01 -3.26950333e-01 5.38488630e-01
