logA n_s H0 omega_b omega_cdm m_ncdm w0_fld Omega_EDE tau_reio
3.000266022896567186e+00 9.271098853841687193e-01 7.319714801519032221e+01 2.245435960806384940e-02 1.265194137140407959e-01 7.124743215617172776e-02 -8.303157755762398118e-01 3.826782808686535198e-02 6.956757957389703151e-02
3.119854941723112063e+00 9.565116882238009488e-01 7.495586497957953043e+01 2.210282137581510292e-02 1.217882349251596386e-01 3.675412093115683343e-02 -8.624347327472130509e-01 7.652525121383962903e-02 5.567241987329618613e-02
3.061382909691267695e+00 9.988903963688005039e-01 7.338676329686768440e+01 2.205609890308779519e-02 1.295988885364397214e-01 1.344393895690239663e-02 -8.639370970384705473e-01 3.709531905018265130e-02 6.565640097258544639e-02
2.821373433947656828e+00 9.249133281385069072e-01 7.531806213737625910e+01 2.207870169145232167e-02 1.296543012238254577e-01 3.041973194536498268e-02 -8.771496131469891377e-01 6.599694899628820444e-02 2.409866557183708291e-02
3.150253981738910802e+00 9.255793823851148350e-01 7.593241916172684114e+01 2.251740598269039162e-02 1.266468282219240793e-01 1.466172476902950599e-02 -8.923821686529995745e-01 7.055684389589315930e-02 4.470561528627369635e-02
3.175248047146092212e+00 9.788724323310138420e-01 7.516821555236313657e+01 2.238306846284332172e-02 1.283357099230694742e-01 2.086138877940234629e-02 -8.975679012257193889e-01 6.051377422406419015e-02 7.019543504354326668e-02
2.927349460263242165e+00 9.515209856865476379e-01 7.401361808823047284e+01 2.243170069889073581e-02 1.248865940886955406e-01 2.279847296226953507e-02 -8.303690403425698641e-01 5.613915584491704913e-02 5.364026888755250855e-02
3.086216374384322947e+00 9.589431018395868644e-01 7.475342528445648327e+01 2.205321357439506483e-02 1.268160640238817916e-01 7.507934192039351917e-02 -8.496523626819030284e-01 8.697301095788592673e-02 4.804194644697504235e-02
2.856551437385808079e+00 9.018347747935807623e-01 7.549265367914756553e+01 2.255172664393548590e-02 1.228278048677133027e-01 6.318162261567440707e-02 -8.327785843767723239e-01 7.528947145563769094e-02 2.721442299565769718e-02
3.162879899294923192e+00 9.430779157085642517e-01 7.204262692609745500e+01 2.228410963120293353e-02 1.224192899359903414e-01 5.152438067000877919e-02 -8.047807785615181952e-01 1.505227888628777461e-02 3.551543377844447458e-02
3.092295345739967782e+00 9.319820982525358621e-01 7.461512919508560060e+01 2.211203582500086140e-02 1.180573905703789506e-01 9.118788241863116928e-02 -9.027692277015357813e-01 4.555189434758787070e-02 1.634993536260815478e-02
3.084354212719020438e+00 9.826747893546812218e-01 7.654091193552972072e+01 2.218865986292912346e-02 1.293965904342039563e-01 8.042674363739277243e-02 -8.927694319174812598e-01 8.085753758453680107e-02 4.928239039717690478e-02
2.804439097059414632e+00 9.326135733560861896e-01 7.406952622555975552e+01 2.229437844326741941e-02 1.259127353287789741e-01 4.524818588049496493e-02 -8.964709061192415174e-01 9.921738679328984817e-03 5.688372604813278499e-02
3.128979473055225391e+00 9.952281444894004458e-01 7.378204901633870350e+01 2.221526497841154815e-02 1.243384105928293654e-01 7.862096082854612422e-02 -8.280262833810978496e-01 5.933662083799357001e-02 3.306159504420318196e-02
2.934630813797472371e+00 9.322703052169641902e-01 7.464054814078552624e+01 2.219863927750554203e-02 1.298642461787173630e-01 8.405620744785279042e-02 -8.498565619845412922e-01 5.300526991365909352e-02 7.410453734602794051e-02
2.868266109727100943e+00 9.744294744166426270e-01 7.207915254094595525e+01 2.208225140611840692e-02 1.189330136592251091e-01 9.307044196867933494e-02 -8.215125621416305979e-01 2.437335297694266656e-02 1.181632148857458819e-02
3.080862076858804866e+00 9.149180467625560587e-01 7.345742225991894259e+01 2.245448027070453753e-02 1.234585313616962526e-01 3.895546389711601609e-02 -8.658389873423608663e-01 3.047657309810110696e-02 3.415382330878955625e-02
2.907709514319311239e+00 9.475469467128578849e-01 7.365061236502047848e+01 2.256842115578873431e-02 1.227254199069673646e-01 4.737920577606428291e-02 -8.394252837190028238e-01 4.877537720558330903e-02 1.071197217252451393e-02
2.964903085268794758e+00 9.661700033822916422e-01 7.660189077879533670e+01 2.234955138731856139e-02 1.241438225062136830e-01 9.223767187044684679e-02 -8.851567941086497804e-01 9.240096704236287761e-02 2.765084514953135980e-02
2.834724471775128762e+00 9.507798373558009608e-01 7.477821826567924290e+01 2.237424389861561794e-02 1.235738395314247423e-01 3.594151509841989056e-02 -8.574644615638278289e-01 6.134030521363064564e-02 7.995762111340110057e-02
