# logA n_s H0 omega_b omega_cdm m_ncdm tau_reio weight loglikelihood
2.23546265e+00 1.12024485e+00 3.41641890e+01 1.31602212e-02 8.33078366e-01 8.46329484e-01 1.96633942e-02 0.00000000e+00 -1.00000000e+300
2.67830757e+00 8.47084286e-01 6.92120042e+01 1.73164242e-02 9.41873553e-01 8.03296061e-01 6.21352695e-01 0.00000000e+00 -1.00000000e+300
1.68220102e+00 1.12905582e+00 4.79932464e+01 4.73375817e-02 7.82279764e-01 1.43817206e+00 2.80314321e-01 0.00000000e+00 -1.00000000e+300
1.66861273e+00 1.06990267e+00 8.17139356e+01 1.28665272e-02 5.43213050e-01 1.63633835e-02 4.13584876e-01 0.00000000e+00 -1.00000000e+300
3.78677186e+00 8.33424933e-01 2.36802033e+01 5.96028686e-02 4.18775636e-01 2.59035086e-01 4.45620347e-01 0.00000000e+00 -1.00000000e+300
3.22686801e+00 1.13042974e+00 7.84718124e+01 5.61779054e-02 8.58635614e-01 1.37527991e+00 1.43411424e-01 0.00000000e+00 -1.00000000e+300
3.39627420e+00 8.95890280e-01 2.04366919e+01 8.92113489e-03 2.94722409e-01 6.14533339e-01 8.03781164e-02 0.00000000e+00 -1.00000000e+300
1.73065382e+00 8.02453976e-01 8.15894572e+01 5.40141687e-02 5.94037623e-01 1.08084194e-01 4.09335965e-01 0.00000000e+00 -1.00000000e+300
3.49614593e+00 8.57750819e-01 9.62301630e+01 6.94521182e-02 7.24233340e-01 1.33168508e+00 1.96832489e-01 0.00000000e+00 -1.00000000e+300
3.79433710e+00 9.33090746e-01 7.69525480e+01 1.21213313e-02 9.08526481e-01 5.93309334e-01 7.11846315e-01 0.00000000e+00 -1.00000000e+300
2.26459703e+00 1.16856676e+00 9.38943436e+01 4.10786805e-02 1.38431543e-02 1.56907426e-01 5.19947586e-01 0.00000000e+00 -1.00000000e+300
3.68043314e+00 1.15660179e+00 4.30586937e+01 7.75097601e-02 6.56961049e-01 8.85265074e-01 1.14111973e-01 0.00000000e+00 -1.00000000e+300
2.14560619e+00 1.02800954e+00 4.87293367e+01 6.70896295e-02 5.03990132e-01 1.55090938e+00 7.88595319e-01 0.00000000e+00 -1.00000000e+300
2.62551367e+00 1.01242434e+00 9.38528707e+01 6.10674271e-02 6.10043141e-01 8.84436727e-01 5.53882601e-01 0.00000000e+00 -1.00000000e+300
2.06198778e+00 1.06787015e+00 4.92379556e+01 9.37213591e-02 9.04735662e-01 1.92988399e+00 1.37014150e-01 0.00000000e+00 -1.00000000e+300
1.93950914e+00 8.54169300e-01 4.09878073e+01 7.06587168e-02 7.81707757e-01 1.01937525e+00 4.18691870e-01 0.00000000e+00 -1.00000000e+300
3.50490702e+00 1.08372529e+00 7.68725289e+01 3.94241550e-02 1.06893529e-01 1.39156776e+00 4.34280601e-01 0.00000000e+00 -1.00000000e+300
