# logA n_s H0 omega_b omega_cdm tau_reio weight loglikelihood
3.61173083e+00 8.70007910e-01 4.99424747e+01 4.23574925e-02 3.68160305e-01 6.98981882e-01 0.00000000e+00 -1.00000000e+300
3.13828686e+00 8.27277927e-01 8.77038589e+01 7.60418907e-02 8.68954178e-01 5.53273594e-01 0.00000000e+00 -1.00000000e+300
3.12257279e+00 9.75589020e-01 3.90082619e+01 9.08093538e-02 1.73185385e-01 2.51002613e-01 0.00000000e+00 -1.00000000e+300
3.25644510e+00 9.25937822e-01 7.81153630e+01 9.66616421e-02 9.72777857e-01 6.09934437e-01 0.00000000e+00 -1.00000000e+300
3.08957798e+00 1.03509465e+00 8.93230598e+01 4.35815358e-02 7.63737818e-02 3.78433192e-01 0.00000000e+00 -1.00000000e+300
3.21755347e+00 1.03603042e+00 9.57308655e+01 4.27835691e-02 3.06190431e-01 4.22853670e-01 0.00000000e+00 -1.00000000e+300
1.72045070e+00 1.06066171e+00 7.06062621e+01 4.59599379e-02 8.87284074e-01 6.47670496e-01 0.00000000e+00 -1.00000000e+300
3.70018214e+00 1.15584267e+00 4.26636453e+01 6.99783503e-02 3.85710490e-01 3.97325581e-01 0.00000000e+00 -1.00000000e+300
3.50257849e+00 8.00575930e-01 4.71243483e+01 7.36439099e-02 5.15234984e-01 7.14319075e-01 0.00000000e+00 -1.00000000e+300
2.66423508e+00 1.07908773e+00 8.93689385e+01 3.61460925e-02 5.04083382e-01 3.17670839e-01 0.00000000e+00 -1.00000000e+300
2.65708657e+00 1.05283337e+00 9.27646747e+01 7.46203118e-02 1.88192006e-01 1.62613744e-01 0.00000000e+00 -1.00000000e+300
2.87420676e+00 1.03472437e+00 8.39143186e+01 8.74579995e-02 1.55550056e-02 3.63031768e-01 0.00000000e+00 -1.00000000e+300
3.08352021e+00 1.15304321e+00 8.07640705e+01 6.08890993e-02 7.85635340e-01 5.38582161e-01 0.00000000e+00 -1.00000000e+300
